Time,Temperature,Dew_Point,Humidity,Wind,Wind_Speed,Wind_Gust,Pressure,Precipitation,Condition,,
12:53 AM,80 °F,76 °F,87 %,S,9 mph,0 mph,29.22 in,0.0 in,Fair,,
1:53 AM,78 °F,77 °F,96 %,SSW,9 mph,0 mph,29.22 in,0.0 in,Fair,,
2:53 AM,76 °F,76 °F,100 %,SSW,6 mph,0 mph,29.21 in,0.0 in,Fair,,
3:53 AM,76 °F,76 °F,100 %,S,3 mph,0 mph,29.22 in,0.0 in,Mostly Cloudy,,
4:53 AM,75 °F,75 °F,100 %,CALM,0 mph,0 mph,29.22 in,0.0 in,Fair,,
5:53 AM,73 °F,73 °F,100 %,CALM,0 mph,0 mph,29.23 in,0.0 in,Fair,,
6:53 AM,74 °F,74 °F,100 %,CALM,0 mph,0 mph,29.24 in,0.0 in,Fair,,
7:53 AM,76 °F,76 °F,100 %,SSE,5 mph,0 mph,29.26 in,0.0 in,Fog,,
8:53 AM,79 °F,79 °F,100 %,SSE,3 mph,0 mph,29.27 in,0.0 in,Fair,,
9:53 AM,84 °F,78 °F,82 %,SSW,12 mph,17 mph,29.28 in,0.0 in,Mostly Cloudy,,
10:53 AM,88 °F,78 °F,72 %,S,9 mph,0 mph,29.29 in,0.0 in,Partly Cloudy,,
11:53 AM,90 °F,76 °F,63 %,S,13 mph,20 mph,29.28 in,0.0 in,Mostly Cloudy,,
12:53 PM,91 °F,75 °F,59 %,VAR,5 mph,17 mph,29.26 in,0.0 in,Partly Cloudy,,
1:53 PM,93 °F,74 °F,54 %,SSW,6 mph,16 mph,29.24 in,0.0 in,Partly Cloudy,,
2:53 PM,93 °F,72 °F,50 %,SSE,3 mph,0 mph,29.23 in,0.0 in,Partly Cloudy,,
3:53 PM,96 °F,72 °F,46 %,SSE,8 mph,17 mph,29.21 in,0.0 in,Partly Cloudy,,
4:53 PM,97 °F,70 °F,41 %,SSW,10 mph,0 mph,29.19 in,0.0 in,Partly Cloudy,,
5:53 PM,96 °F,70 °F,43 %,SSE,7 mph,0 mph,29.18 in,0.0 in,Fair,,
6:53 PM,94 °F,70 °F,46 %,SSE,9 mph,0 mph,29.18 in,0.0 in,Fair,,
7:53 PM,89 °F,74 °F,61 %,SE,16 mph,22 mph,29.20 in,0.0 in,Partly Cloudy,,
8:53 PM,86 °F,76 °F,72 %,SSE,10 mph,0 mph,29.22 in,0.0 in,Fair,,
9:53 PM,81 °F,77 °F,88 %,SE,10 mph,0 mph,29.26 in,0.0 in,Fair,,
10:53 PM,82 °F,77 °F,85 %,SSE,6 mph,0 mph,29.28 in,0.0 in,Fair,,
11:53 PM,80 °F,77 °F,90 %,S,3 mph,0 mph,29.29 in,0.0 in,Fair,,
12:53 AM,79 °F,78 °F,97 %,SSW,6 mph,0 mph,29.28 in,0.0 in,Fair,,
1:53 AM,78 °F,78 °F,100 %,CALM,0 mph,0 mph,29.29 in,0.0 in,Fair,,
2:53 AM,76 °F,76 °F,100 %,CALM,0 mph,0 mph,29.28 in,0.0 in,Fair,,
3:53 AM,76 °F,76 °F,100 %,CALM,0 mph,0 mph,29.29 in,0.0 in,Fair,,
4:53 AM,77 °F,77 °F,100 %,SSE,5 mph,0 mph,29.29 in,0.0 in,Mostly Cloudy,,
5:53 AM,76 °F,76 °F,100 %,CALM,0 mph,0 mph,29.30 in,0.0 in,Mostly Cloudy,,
6:53 AM,76 °F,76 °F,100 %,S,3 mph,0 mph,29.31 in,0.0 in,Mostly Cloudy,,
7:53 AM,77 °F,77 °F,100 %,SSE,5 mph,0 mph,29.33 in,0.0 in,Cloudy,,
8:53 AM,78 °F,78 °F,100 %,CALM,0 mph,0 mph,29.35 in,0.0 in,Cloudy,,
9:53 AM,82 °F,79 °F,90 %,SW,6 mph,0 mph,29.35 in,0.0 in,Mostly Cloudy,,
10:53 AM,88 °F,74 °F,63 %,SSW,10 mph,0 mph,29.37 in,0.0 in,Partly Cloudy,,
11:53 AM,90 °F,72 °F,55 %,SSE,14 mph,21 mph,29.36 in,0.0 in,Partly Cloudy,,
12:53 PM,93 °F,72 °F,50 %,VAR,3 mph,0 mph,29.34 in,0.0 in,Fair,,
1:53 PM,94 °F,71 °F,47 %,S,10 mph,0 mph,29.32 in,0.0 in,Partly Cloudy,,
2:53 PM,95 °F,69 °F,43 %,VAR,6 mph,16 mph,29.29 in,0.0 in,Mostly Cloudy,,
3:53 PM,95 °F,69 °F,43 %,SE,9 mph,0 mph,29.27 in,0.0 in,Partly Cloudy,,
4:53 PM,97 °F,69 °F,40 %,SSE,10 mph,0 mph,29.26 in,0.0 in,Partly Cloudy,,
5:53 PM,91 °F,73 °F,55 %,ESE,14 mph,26 mph,29.26 in,0.0 in,Mostly Cloudy,,
6:53 PM,92 °F,70 °F,48 %,SSE,15 mph,0 mph,29.26 in,0.0 in,Fair,,
7:53 PM,88 °F,71 °F,57 %,SSE,9 mph,0 mph,29.27 in,0.0 in,Fair,,
8:53 PM,86 °F,72 °F,63 %,SSE,8 mph,0 mph,29.29 in,0.0 in,Fair,,
9:53 PM,84 °F,74 °F,72 %,SE,8 mph,0 mph,29.32 in,0.0 in,Fair,,
10:53 PM,80 °F,74 °F,81 %,SSW,3 mph,0 mph,29.34 in,0.0 in,Fair,,
11:53 PM,77 °F,73 °F,88 %,CALM,0 mph,0 mph,29.35 in,0.0 in,Fair,,
12:53 AM,76 °F,73 °F,91 %,SSE,3 mph,0 mph,29.36 in,0.0 in,Fair,,
1:53 AM,75 °F,73 °F,94 %,CALM,0 mph,0 mph,29.36 in,0.0 in,Fair,,
2:53 AM,73 °F,72 °F,96 %,CALM,0 mph,0 mph,29.36 in,0.0 in,Fair,,
3:53 AM,74 °F,73 °F,97 %,CALM,0 mph,0 mph,29.36 in,0.0 in,Fair,,
4:53 AM,73 °F,72 °F,96 %,CALM,0 mph,0 mph,29.36 in,0.0 in,Fair,,
5:53 AM,73 °F,73 °F,100 %,CALM,0 mph,0 mph,29.37 in,0.0 in,Partly Cloudy,,
6:53 AM,74 °F,73 °F,97 %,CALM,0 mph,0 mph,29.38 in,0.0 in,Partly Cloudy,,
7:53 AM,77 °F,75 °F,94 %,CALM,0 mph,0 mph,29.38 in,0.0 in,Fair,,
8:53 AM,78 °F,76 °F,93 %,SSE,3 mph,0 mph,29.40 in,0.0 in,Partly Cloudy,,
9:53 AM,83 °F,77 °F,82 %,S,6 mph,0 mph,29.40 in,0.0 in,Partly Cloudy,,
10:53 AM,87 °F,74 °F,65 %,SW,7 mph,0 mph,29.40 in,0.0 in,Partly Cloudy,,
11:53 AM,88 °F,72 °F,59 %,SW,6 mph,0 mph,29.40 in,0.0 in,Mostly Cloudy,,
12:53 PM,92 °F,70 °F,48 %,ESE,9 mph,0 mph,29.39 in,0.0 in,Partly Cloudy,,
1:53 PM,95 °F,70 °F,44 %,S,13 mph,21 mph,29.36 in,0.0 in,Partly Cloudy,,
2:53 PM,95 °F,68 °F,41 %,VAR,6 mph,0 mph,29.33 in,0.0 in,Partly Cloudy,,
3:53 PM,96 °F,68 °F,40 %,SSW,6 mph,0 mph,29.31 in,0.0 in,Partly Cloudy,,
4:53 PM,84 °F,76 °F,76 %,SSE,12 mph,25 mph,29.31 in,0.0 in,Light Rain,,
5:53 PM,89 °F,75 °F,63 %,SE,7 mph,0 mph,29.30 in,0.0 in,Partly Cloudy,,
6:53 PM,90 °F,72 °F,55 %,SSE,13 mph,0 mph,29.29 in,0.0 in,Fair,,
7:53 PM,87 °F,69 °F,55 %,SSE,10 mph,0 mph,29.30 in,0.0 in,Partly Cloudy,,
8:53 PM,84 °F,69 °F,61 %,SSE,7 mph,0 mph,29.32 in,0.0 in,Fair,,
9:53 PM,79 °F,70 °F,74 %,S,7 mph,0 mph,29.35 in,0.0 in,Fair,,
10:53 PM,77 °F,70 °F,79 %,S,3 mph,0 mph,29.37 in,0.0 in,Fair,,
11:53 PM,77 °F,71 °F,82 %,S,7 mph,0 mph,29.37 in,0.0 in,Fair,,
12:53 AM,75 °F,71 °F,87 %,S,3 mph,0 mph,29.38 in,0.0 in,Fair,,
1:53 AM,74 °F,72 °F,93 %,SSW,5 mph,0 mph,29.37 in,0.0 in,Fair,,
2:53 AM,74 °F,72 °F,93 %,CALM,0 mph,0 mph,29.37 in,0.0 in,Fair,,
3:53 AM,73 °F,72 °F,96 %,CALM,0 mph,0 mph,29.36 in,0.0 in,Partly Cloudy,,
4:53 AM,73 °F,72 °F,96 %,CALM,0 mph,0 mph,29.37 in,0.0 in,Fair,,
5:53 AM,72 °F,71 °F,97 %,S,5 mph,0 mph,29.37 in,0.0 in,Fair,,
6:53 AM,73 °F,73 °F,100 %,SSE,3 mph,0 mph,29.38 in,0.0 in,Fair,,
7:53 AM,74 °F,73 °F,97 %,CALM,0 mph,0 mph,29.39 in,0.0 in,Fair,,
8:53 AM,78 °F,76 °F,93 %,S,5 mph,0 mph,29.40 in,0.0 in,Fair,,
9:53 AM,84 °F,74 °F,72 %,SW,10 mph,0 mph,29.40 in,0.0 in,Fair,,
10:53 AM,87 °F,72 °F,61 %,SSW,9 mph,0 mph,29.41 in,0.0 in,Fair,,
11:53 AM,90 °F,71 °F,54 %,S,10 mph,22 mph,29.40 in,0.0 in,Partly Cloudy,,
12:53 PM,92 °F,69 °F,47 %,WSW,10 mph,20 mph,29.38 in,0.0 in,Fair,,
1:53 PM,94 °F,68 °F,43 %,SSW,10 mph,17 mph,29.36 in,0.0 in,Fair,,
2:53 PM,95 °F,68 °F,41 %,SSW,10 mph,18 mph,29.34 in,0.0 in,Fair,,
3:53 PM,95 °F,65 °F,37 %,SSE,7 mph,0 mph,29.31 in,0.0 in,Fair,,
4:53 PM,95 °F,65 °F,37 %,S,12 mph,0 mph,29.30 in,0.0 in,Fair,,
5:53 PM,95 °F,65 °F,37 %,S,7 mph,0 mph,29.29 in,0.0 in,Fair,,
6:53 PM,93 °F,66 °F,41 %,SSE,7 mph,0 mph,29.29 in,0.0 in,Fair,,
7:53 PM,88 °F,67 °F,49 %,SSE,6 mph,0 mph,29.29 in,0.0 in,Fair,,
8:53 PM,85 °F,68 °F,57 %,SSE,7 mph,0 mph,29.30 in,0.0 in,Fair,,
9:53 PM,84 °F,70 °F,63 %,S,9 mph,0 mph,29.32 in,0.0 in,Fair,,
10:53 PM,83 °F,73 °F,72 %,S,14 mph,0 mph,29.34 in,0.0 in,Fair,,
11:53 PM,81 °F,72 °F,74 %,S,8 mph,0 mph,29.36 in,0.0 in,Fair,,
12:53 AM,79 °F,71 °F,77 %,SSW,8 mph,0 mph,29.36 in,0.0 in,Fair,,
1:53 AM,77 °F,71 °F,82 %,SSW,5 mph,0 mph,29.36 in,0.0 in,Fair,,
2:53 AM,73 °F,70 °F,90 %,CALM,0 mph,0 mph,29.35 in,0.0 in,Fair,,
3:53 AM,74 °F,71 °F,91 %,SSW,5 mph,0 mph,29.34 in,0.0 in,Fair,,
4:53 AM,73 °F,71 °F,93 %,CALM,0 mph,0 mph,29.34 in,0.0 in,Fair,,
5:53 AM,72 °F,70 °F,93 %,CALM,0 mph,0 mph,29.35 in,0.0 in,Fair,,
6:53 AM,70 °F,70 °F,100 %,SSW,3 mph,0 mph,29.35 in,0.0 in,Mostly Cloudy,,
7:53 AM,73 °F,72 °F,96 %,CALM,0 mph,0 mph,29.37 in,0.0 in,Mostly Cloudy,,
8:53 AM,77 °F,73 °F,88 %,SSW,5 mph,0 mph,29.39 in,0.0 in,Fair,,
9:53 AM,84 °F,71 °F,65 %,W,10 mph,18 mph,29.39 in,0.0 in,Fair,,
10:53 AM,88 °F,70 °F,55 %,WSW,6 mph,0 mph,29.40 in,0.0 in,Fair,,
11:53 AM,92 °F,68 °F,45 %,SSW,12 mph,0 mph,29.39 in,0.0 in,Fair,,
12:53 PM,94 °F,66 °F,40 %,VAR,5 mph,16 mph,29.37 in,0.0 in,Fair,,
1:53 PM,97 °F,66 °F,36 %,SSW,7 mph,0 mph,29.35 in,0.0 in,Mostly Cloudy,,
2:53 PM,98 °F,65 °F,34 %,VAR,6 mph,0 mph,29.32 in,0.0 in,Partly Cloudy,,
3:53 PM,99 °F,66 °F,34 %,VAR,6 mph,0 mph,29.30 in,0.0 in,Partly Cloudy,,
4:53 PM,98 °F,63 °F,31 %,SSE,9 mph,0 mph,29.28 in,0.0 in,Fair,,
5:53 PM,98 °F,62 °F,30 %,SSE,7 mph,0 mph,29.26 in,0.0 in,Fair,,
6:53 PM,95 °F,63 °F,34 %,S,10 mph,0 mph,29.27 in,0.0 in,Fair,,
7:53 PM,87 °F,66 °F,49 %,S,3 mph,0 mph,29.29 in,0.0 in,Fair,,
8:53 PM,87 °F,67 °F,51 %,N,21 mph,37 mph,29.35 in,0.0 in,Cloudy / Windy,,
9:53 PM,85 °F,63 °F,48 %,NNW,10 mph,0 mph,29.36 in,0.0 in,Mostly Cloudy,,
10:53 PM,82 °F,64 °F,54 %,SE,6 mph,0 mph,29.35 in,0.0 in,Mostly Cloudy,,
11:53 PM,77 °F,66 °F,69 %,CALM,0 mph,0 mph,29.37 in,0.0 in,Partly Cloudy,,
12:53 AM,75 °F,67 °F,76 %,SW,3 mph,0 mph,29.38 in,0.0 in,Partly Cloudy,,
1:53 AM,77 °F,67 °F,71 %,CALM,0 mph,0 mph,29.39 in,0.0 in,Partly Cloudy,,
2:53 AM,77 °F,68 °F,74 %,CALM,0 mph,0 mph,29.39 in,0.0 in,Partly Cloudy,,
3:53 AM,77 °F,69 °F,76 %,WSW,5 mph,0 mph,29.39 in,0.0 in,Partly Cloudy,,
4:53 AM,76 °F,70 °F,82 %,CALM,0 mph,0 mph,29.39 in,0.0 in,Mostly Cloudy,,
5:53 AM,76 °F,70 °F,82 %,SSW,5 mph,0 mph,29.38 in,0.0 in,Partly Cloudy,,
6:53 AM,76 °F,70 °F,82 %,S,5 mph,0 mph,29.39 in,0.0 in,Mostly Cloudy,,
7:53 AM,77 °F,71 °F,82 %,SW,5 mph,0 mph,29.41 in,0.0 in,Mostly Cloudy,,
8:53 AM,83 °F,72 °F,69 %,W,3 mph,0 mph,29.42 in,0.0 in,Mostly Cloudy,,
9:53 AM,87 °F,71 °F,59 %,CALM,0 mph,0 mph,29.43 in,0.0 in,Mostly Cloudy,,
10:53 AM,89 °F,70 °F,53 %,W,3 mph,0 mph,29.43 in,0.0 in,Mostly Cloudy,,
11:53 AM,91 °F,71 °F,52 %,ENE,6 mph,0 mph,29.41 in,0.0 in,Partly Cloudy,,
12:53 PM,94 °F,70 °F,46 %,WNW,7 mph,0 mph,29.39 in,0.0 in,Partly Cloudy,,
1:53 PM,94 °F,70 °F,46 %,VAR,6 mph,0 mph,29.36 in,0.0 in,Partly Cloudy,,
2:53 PM,97 °F,71 °F,43 %,,0 mph,0 mph,29.32 in,0.0 in,Mostly Cloudy,,
3:53 PM,76 °F,73 °F,91 %,E,16 mph,28 mph,29.31 in,0.1 in,Light Rain with Thunder,,
4:53 PM,75 °F,71 °F,87 %,SW,8 mph,0 mph,29.31 in,0.0 in,Mostly Cloudy,,
5:53 PM,77 °F,69 °F,76 %,WSW,6 mph,0 mph,29.32 in,0.0 in,Mostly Cloudy,,
6:53 PM,77 °F,69 °F,76 %,WSW,8 mph,0 mph,29.33 in,0.0 in,Cloudy,,
7:53 PM,77 °F,69 °F,76 %,NW,6 mph,0 mph,29.34 in,0.0 in,Cloudy,,
8:53 PM,80 °F,68 °F,67 %,CALM,0 mph,0 mph,29.34 in,0.0 in,Cloudy,,
9:53 PM,78 °F,71 °F,79 %,CALM,0 mph,0 mph,29.35 in,0.0 in,Cloudy,,
10:53 PM,77 °F,72 °F,84 %,SSE,5 mph,0 mph,29.35 in,0.0 in,Mostly Cloudy,,
11:53 PM,76 °F,71 °F,85 %,ENE,5 mph,0 mph,29.36 in,0.0 in,Partly Cloudy,,
12:53 AM,76 °F,70 °F,82 %,CALM,0 mph,0 mph,29.36 in,0.0 in,Mostly Cloudy,,
1:53 AM,72 °F,70 °F,93 %,CALM,0 mph,0 mph,29.36 in,0.0 in,Fair,,
2:53 AM,72 °F,69 °F,91 %,ESE,3 mph,0 mph,29.35 in,0.0 in,Fair,,
3:53 AM,72 °F,70 °F,93 %,WSW,5 mph,0 mph,29.35 in,0.0 in,Fair,,
4:53 AM,71 °F,69 °F,93 %,CALM,0 mph,0 mph,29.35 in,0.0 in,Fair,,
5:53 AM,71 °F,69 °F,93 %,CALM,0 mph,0 mph,29.36 in,0.0 in,Partly Cloudy,,
6:53 AM,71 °F,69 °F,93 %,CALM,0 mph,0 mph,29.36 in,0.0 in,Partly Cloudy,,
7:53 AM,72 °F,70 °F,93 %,CALM,0 mph,0 mph,29.37 in,0.0 in,Mostly Cloudy,,
8:53 AM,75 °F,71 °F,87 %,CALM,0 mph,0 mph,29.38 in,0.0 in,Mostly Cloudy,,
9:53 AM,78 °F,72 °F,81 %,SSE,5 mph,0 mph,29.39 in,0.0 in,Mostly Cloudy,,
10:53 AM,82 °F,72 °F,71 %,VAR,3 mph,0 mph,29.40 in,0.0 in,Cloudy,,
11:53 AM,86 °F,71 °F,61 %,VAR,5 mph,0 mph,29.40 in,0.0 in,Mostly Cloudy,,
12:53 PM,90 °F,69 °F,50 %,SSW,6 mph,0 mph,29.37 in,0.0 in,Mostly Cloudy,,
1:53 PM,90 °F,67 °F,46 %,NW,6 mph,0 mph,29.34 in,0.0 in,Mostly Cloudy,,
2:53 PM,93 °F,69 °F,45 %,VAR,6 mph,0 mph,29.32 in,0.0 in,Mostly Cloudy,,
3:53 PM,93 °F,68 °F,44 %,N,7 mph,0 mph,29.29 in,0.0 in,Mostly Cloudy,,
4:53 PM,95 °F,65 °F,37 %,N,8 mph,0 mph,29.27 in,0.0 in,Mostly Cloudy,,
5:53 PM,94 °F,64 °F,37 %,NNE,10 mph,0 mph,29.27 in,0.0 in,Partly Cloudy,,
6:53 PM,92 °F,65 °F,41 %,NE,7 mph,0 mph,29.28 in,0.0 in,Mostly Cloudy,,
7:53 PM,87 °F,68 °F,53 %,NE,6 mph,0 mph,29.28 in,0.0 in,Partly Cloudy,,
8:53 PM,83 °F,69 °F,63 %,ESE,7 mph,0 mph,29.30 in,0.0 in,Fair,,
9:53 PM,82 °F,68 °F,62 %,SE,7 mph,0 mph,29.33 in,0.0 in,Partly Cloudy,,
10:53 PM,76 °F,67 °F,74 %,CALM,0 mph,0 mph,29.35 in,0.0 in,Fair,,
11:53 PM,71 °F,66 °F,84 %,CALM,0 mph,0 mph,29.35 in,0.0 in,Fair,,
12:53 AM,70 °F,66 °F,87 %,CALM,0 mph,0 mph,29.36 in,0.0 in,Fair,,
1:53 AM,68 °F,66 °F,93 %,CALM,0 mph,0 mph,29.35 in,0.0 in,Fair,,
2:53 AM,68 °F,66 °F,93 %,CALM,0 mph,0 mph,29.35 in,0.0 in,Fair,,
3:53 AM,69 °F,66 °F,90 %,CALM,0 mph,0 mph,29.34 in,0.0 in,Partly Cloudy,,
4:53 AM,67 °F,66 °F,97 %,CALM,0 mph,0 mph,29.34 in,0.0 in,Partly Cloudy,,
5:53 AM,67 °F,65 °F,93 %,CALM,0 mph,0 mph,29.35 in,0.0 in,Partly Cloudy,,
6:53 AM,64 °F,64 °F,100 %,CALM,0 mph,0 mph,29.36 in,0.0 in,Fair,,
7:53 AM,69 °F,67 °F,93 %,CALM,0 mph,0 mph,29.38 in,0.0 in,Partly Cloudy,,
8:53 AM,75 °F,70 °F,84 %,CALM,0 mph,0 mph,29.39 in,0.0 in,Partly Cloudy,,
9:53 AM,80 °F,70 °F,71 %,VAR,3 mph,0 mph,29.41 in,0.0 in,Fair,,
10:53 AM,87 °F,70 °F,57 %,N,9 mph,0 mph,29.41 in,0.0 in,Fair,,
11:53 AM,91 °F,67 °F,45 %,N,8 mph,0 mph,29.40 in,0.0 in,Fair,,
12:53 PM,94 °F,59 °F,31 %,N,12 mph,20 mph,29.36 in,0.0 in,Fair,,
1:53 PM,95 °F,60 °F,31 %,VAR,7 mph,0 mph,29.33 in,0.0 in,Partly Cloudy,,
2:53 PM,96 °F,55 °F,25 %,NE,9 mph,0 mph,29.33 in,0.0 in,Partly Cloudy,,
3:53 PM,98 °F,54 °F,23 %,NE,17 mph,24 mph,29.32 in,0.0 in,Fair,,
4:53 PM,94 °F,53 °F,25 %,NE,17 mph,24 mph,29.31 in,0.0 in,Partly Cloudy,,
5:53 PM,94 °F,53 °F,25 %,NE,13 mph,0 mph,29.31 in,0.0 in,Partly Cloudy,,
6:53 PM,90 °F,54 °F,29 %,ENE,8 mph,0 mph,29.32 in,0.0 in,Partly Cloudy,,
7:53 PM,84 °F,56 °F,38 %,ENE,7 mph,0 mph,29.32 in,0.0 in,Partly Cloudy,,
8:53 PM,81 °F,53 °F,38 %,ENE,6 mph,0 mph,29.35 in,0.0 in,Fair,,
9:53 PM,74 °F,57 °F,55 %,ENE,5 mph,0 mph,29.38 in,0.0 in,Fair,,
10:53 PM,70 °F,59 °F,68 %,CALM,0 mph,0 mph,29.39 in,0.0 in,Fair,,
11:53 PM,69 °F,60 °F,73 %,CALM,0 mph,0 mph,29.40 in,0.0 in,Fair,,
12:53 AM,68 °F,61 °F,78 %,CALM,0 mph,0 mph,29.40 in,0.0 in,Fair,,
1:53 AM,69 °F,61 °F,75 %,WSW,3 mph,0 mph,29.41 in,0.0 in,Fair,,
2:53 AM,67 °F,61 °F,81 %,CALM,0 mph,0 mph,29.41 in,0.0 in,Fair,,
3:53 AM,65 °F,61 °F,87 %,CALM,0 mph,0 mph,29.41 in,0.0 in,Fair,,
4:53 AM,65 °F,61 °F,87 %,CALM,0 mph,0 mph,29.42 in,0.0 in,Fair,,
5:53 AM,63 °F,61 °F,93 %,CALM,0 mph,0 mph,29.42 in,0.0 in,Fair,,
6:53 AM,62 °F,60 °F,93 %,CALM,0 mph,0 mph,29.44 in,0.0 in,Fair,,
7:53 AM,66 °F,62 °F,87 %,CALM,0 mph,0 mph,29.45 in,0.0 in,Fair,,
8:53 AM,76 °F,59 °F,56 %,N,13 mph,0 mph,29.46 in,0.0 in,Fair,,
9:53 AM,82 °F,58 °F,44 %,N,12 mph,0 mph,29.47 in,0.0 in,Fair,,
10:53 AM,87 °F,58 °F,37 %,NNE,8 mph,0 mph,29.47 in,0.0 in,Fair,,
11:53 AM,89 °F,61 °F,39 %,N,14 mph,21 mph,29.46 in,0.0 in,Fair,,
12:53 PM,90 °F,59 °F,35 %,ENE,8 mph,25 mph,29.45 in,0.0 in,Fair,,
1:53 PM,93 °F,59 °F,32 %,NNE,12 mph,23 mph,29.44 in,0.0 in,Fair,,
2:53 PM,94 °F,58 °F,30 %,N,15 mph,21 mph,29.42 in,0.0 in,Fair,,
3:53 PM,94 °F,56 °F,28 %,NNE,12 mph,23 mph,29.39 in,0.0 in,Fair,,
4:53 PM,94 °F,56 °F,28 %,NE,14 mph,22 mph,29.38 in,0.0 in,Fair,,
5:53 PM,93 °F,58 °F,31 %,NE,15 mph,0 mph,29.38 in,0.0 in,Fair,,
6:53 PM,90 °F,55 °F,30 %,NE,12 mph,0 mph,29.39 in,0.0 in,Fair,,
7:53 PM,86 °F,56 °F,36 %,NNE,9 mph,0 mph,29.39 in,0.0 in,Fair,,
8:53 PM,82 °F,55 °F,39 %,NNE,9 mph,0 mph,29.41 in,0.0 in,Fair,,
9:53 PM,80 °F,51 °F,36 %,NNE,8 mph,0 mph,29.44 in,0.0 in,Fair,,
10:53 PM,70 °F,53 °F,55 %,N,5 mph,0 mph,29.46 in,0.0 in,Fair,,
11:53 PM,67 °F,55 °F,66 %,CALM,0 mph,0 mph,29.47 in,0.0 in,Fair,,
12:53 AM,64 °F,56 °F,75 %,CALM,0 mph,0 mph,29.47 in,0.0 in,Fair,,
1:53 AM,63 °F,55 °F,75 %,N,3 mph,0 mph,29.46 in,0.0 in,Fair,,
2:53 AM,64 °F,54 °F,70 %,N,5 mph,0 mph,29.45 in,0.0 in,Fair,,
3:53 AM,64 °F,53 °F,67 %,N,7 mph,0 mph,29.45 in,0.0 in,Fair,,
4:53 AM,63 °F,54 °F,72 %,N,5 mph,0 mph,29.46 in,0.0 in,Fair,,
5:53 AM,64 °F,54 °F,70 %,CALM,0 mph,0 mph,29.46 in,0.0 in,Fair,,
6:53 AM,62 °F,56 °F,80 %,CALM,0 mph,0 mph,29.48 in,0.0 in,Fair,,
7:53 AM,64 °F,58 °F,80 %,CALM,0 mph,0 mph,29.49 in,0.0 in,Fair,,
8:53 AM,73 °F,57 °F,57 %,NNW,3 mph,0 mph,29.51 in,0.0 in,Fair,,
9:53 AM,77 °F,55 °F,46 %,CALM,0 mph,0 mph,29.51 in,0.0 in,Fair,,
10:53 AM,81 °F,60 °F,49 %,NE,3 mph,0 mph,29.52 in,0.0 in,Fair,,
11:53 AM,84 °F,68 °F,58 %,VAR,3 mph,0 mph,29.52 in,0.0 in,Fair,,
12:53 PM,88 °F,67 °F,49 %,NNE,5 mph,0 mph,29.50 in,0.0 in,Fair,,
1:53 PM,89 °F,63 °F,42 %,NNE,3 mph,0 mph,29.48 in,0.0 in,Fair,,
2:53 PM,90 °F,62 °F,39 %,VAR,6 mph,0 mph,29.45 in,0.0 in,Fair,,
3:53 PM,91 °F,56 °F,30 %,CALM,0 mph,0 mph,29.43 in,0.0 in,Fair,,
4:53 PM,92 °F,53 °F,27 %,ENE,10 mph,0 mph,29.41 in,0.0 in,Fair,,
5:53 PM,91 °F,53 °F,27 %,E,8 mph,17 mph,29.41 in,0.0 in,Fair,,
6:53 PM,88 °F,54 °F,31 %,ENE,7 mph,0 mph,29.42 in,0.0 in,Fair,,
7:53 PM,83 °F,54 °F,37 %,ENE,8 mph,0 mph,29.42 in,0.0 in,Fair,,
8:53 PM,72 °F,58 °F,61 %,E,3 mph,0 mph,29.45 in,0.0 in,Fair,,
9:53 PM,71 °F,58 °F,63 %,SE,3 mph,0 mph,29.47 in,0.0 in,Fair,,
